POLICY: BEST FIT	MEMORY SIZE: 1024


NUMBER 	SEQUENCE 	SIZE 	ADR 	MEMORY LEFT 	LARGEST CHUNK
105 	free 		53152 	0 		496864 		115040
106 	free 		95840 	0 		592704 		115040
107 	alloc 		10464 	0 		582240 		115040
108 	alloc 		51552 	10464 		530688 		115040
109 	free 		110816 	0 		641504 		115040
110 	free 		51552 	0 		693056 		115040
111 	alloc 		31200 	0 		661856 		115040
112 	free 		79840 	0 		741696 		115040
113 	free 		51808 	0 		793504 		115040
114 	alloc 		63648 	0 		729856 		115040
115 	free 		61664 	0 		791520 		115040
116 	free 		108192 	0 		899712 		115040
117 	alloc 		96480 	0 		803232 		115040
118 	alloc 		44832 	96480 		758400 		115040
119 	alloc 		24864 	141312 		733536 		115040
120 	free 		24864 	0 		758400 		115040
121 	alloc 		80224 	0 		678176 		115040
122 	alloc 		91680 	80224 		586496 		115040
123 	free 		10464 	0 		596960 		115040
124 	alloc 		94752 	0 		502208 		115040
125 	alloc 		113376 	94752 		388832 		115040
126 	alloc 		82272 	208128 		306560 		115040
127 	free 		43552 	0 		350112 		115040
128 	free 		31200 	0 		381312 		115040
129 	alloc 		124832 	0 		256480 		115040
130 	alloc 		45664 	124832 		210816 		115040
131 	free 		63648 	0 		274464 		115040
132 	alloc 		94432 	0 		180032 		115040
133 	free 		82272 	0 		262304 		115040
134 	free 		94752 	0 		357056 		115040
135 	free 		91680 	0 		448736 		115040
136 	alloc 		44192 	0 		404544 		115040
137 	free 		94432 	0 		498976 		115040
138 	alloc 		93856 	0 		405120 		115040
139 	alloc 		124064 	93856 		281056 		115040
140 	free 		44192 	0 		325248 		115040
141 	free 		44832 	0 		370080 		115040
142 	free 		80224 	0 		450304 		115040
143 	alloc 		24288 	0 		426016 		115040
144 	free 		96480 	0 		522496 		115040
145 	free 		124064 	0 		646560 		115040
146 	free 		113376 	0 		759936 		115040
147 	alloc 		84000 	0 		675936 		115040
148 	alloc 		62688 	84000 		613248 		115040
149 	free 		84000 	0 		697248 		115040
150 	free 		124832 	0 		822080 		124832
151 	alloc 		123104 	0 		698976 		124832
152 	alloc 		84384 	123104 		614592 		124832
153 	alloc 		67936 	207488 		546656 		124832
154 	alloc 		67872 	275424 		478784 		124832
155 	free 		62688 	0 		541472 		124832
156 	free 		45664 	0 		587136 		124832
157 	alloc 		91104 	0 		496032 		124832
158 	alloc 		21280 	91104 		474752 		124832
159 	alloc 		8480 	112384 		466272 		124832
160 	free 		93856 	0 		560128 		124832
161 	alloc 		27872 	0 		532256 		124832
162 	alloc 		30304 	27872 		501952 		124832
163 	alloc 		44256 	58176 		457696 		124832
164 	free 		21280 	0 		478976 		124832
165 	alloc 		93408 	0 		385568 		124832
166 	alloc 		46368 	93408 		339200 		124832
167 	alloc 		47584 	139776 		291616 		124832
168 	free 		91104 	0 		382720 		124832
169 	free 		44256 	0 		426976 		124832
170 	free 		123104 	0 		550080 		124832
171 	free 		24288 	0 		574368 		124832
172 	alloc 		122528 	0 		451840 		124832
173 	alloc 		56800 	122528 		395040 		124832
174 	free 		67936 	0 		462976 		124832
175 	free 		67872 	0 		530848 		124832
176 	alloc 		69984 	0 		460864 		124832
177 	free 		84384 	0 		545248 		124832
178 	alloc 		92448 	0 		452800 		124832
179 	alloc 		18400 	92448 		434400 		124832
180 	free 		27872 	0 		462272 		124832
181 	free 		8480 	0 		470752 		124832
182 	free 		122528 	0 		593280 		124832
183 	free 		30304 	0 		623584 		124832
184 	alloc 		74080 	0 		549504 		124832
185 	alloc 		114656 	74080 		434848 		124832
186 	alloc 		93216 	188736 		341632 		124832
187 	alloc 		103776 	281952 		237856 		124832
188 	alloc 		3936 	385728 		233920 		124832
189 	free 		46368 	0 		280288 		124832
190 	free 		93408 	0 		373696 		124832
191 	free 		69984 	0 		443680 		124832
192 	free 		47584 	0 		491264 		124832
193 	alloc 		94240 	0 		397024 		124832
194 	free 		93216 	0 		490240 		124832
195 	free 		18400 	0 		508640 		124832
196 	alloc 		112480 	0 		396160 		124832
197 	free 		56800 	0 		452960 		124832
198 	free 		103776 	0 		556736 		124832
199 	alloc 		102560 	0 		454176 		124832
200 	alloc 		91424 	102560 		362752 		124832
201 	alloc 		69472 	193984 		293280 		124832
202 	alloc 		15328 	263456 		277952 		124832
203 	alloc 		14240 	278784 		263712 		124832
204 	alloc 		105760 	293024 		157952 		124832
205 	free 		92448 	0 		250400 		124832
206 	free 		74080 	0 		324480 		124832
207 	alloc 		80608 	0 		243872 		124832
208 	alloc 		101536 	80608 		142336 		124832
209 	free 		91424 	0 		233760 		124832
210 	alloc 		63648 	0 		170112 		124832
211 	free 		112480 	0 		282592 		124832
212 	alloc 		46304 	0 		236288 		124832
213 	alloc 		112480 	0 		123808 		124832
214 	free 		114656 	0 		238464 		124832
215 	free 		3936 	0 		242400 		124832
216 	alloc 		48992 	0 		193408 		124832
217 	alloc 		128224 	48992 		65184 		124832
