POLICY: BEST FIT	MEMORY SIZE: 512


NUMBER 	SEQUENCE 	SIZE 	ADR 	MEMORY LEFT 	LARGEST CHUNK
77 	free 		32 	0 		15968 		115040
78 	alloc 		85024 	0 		-69056 		115040
79 	free 		36640 	0 		-32416 		115040
80 	alloc 		42080 	0 		-74496 		115040
81 	alloc 		39520 	42080 		-114016 		115040
82 	alloc 		79840 	81600 		-193856 		115040
83 	free 		42080 	0 		-151776 		115040
84 	free 		57312 	0 		-94464 		115040
85 	alloc 		79840 	0 		-174304 		115040
86 	alloc 		110816 	79840 		-285120 		115040
87 	alloc 		61664 	190656 		-346784 		115040
88 	alloc 		51808 	252320 		-398592 		115040
89 	alloc 		53152 	304128 		-451744 		115040
90 	free 		35424 	0 		-416320 		115040
91 	free 		113952 	0 		-302368 		115040
92 	free 		85024 	0 		-217344 		115040
93 	free 		88160 	0 		-129184 		115040
94 	free 		44512 	0 		-84672 		115040
95 	free 		36704 	0 		-47968 		115040
96 	free 		34656 	0 		-13312 		115040
97 	free 		39520 	0 		26208 		115040
98 	alloc 		40736 	0 		-14528 		115040
99 	alloc 		108192 	40736 		-122720 		115040
100 	free 		60960 	0 		-61760 		115040
101 	free 		79840 	0 		18080 		115040
102 	alloc 		43552 	0 		-25472 		115040
103 	alloc 		95840 	43552 		-121312 		115040
104 	free 		40736 	0 		-80576 		115040
105 	free 		53152 	0 		-27424 		115040
106 	free 		95840 	0 		68416 		115040
107 	alloc 		10464 	0 		57952 		115040
108 	alloc 		51552 	10464 		6400 		115040
109 	free 		110816 	0 		117216 		115040
110 	free 		51552 	0 		168768 		115040
111 	alloc 		31200 	0 		137568 		115040
112 	free 		79840 	0 		217408 		115040
113 	free 		51808 	0 		269216 		115040
114 	alloc 		63648 	0 		205568 		115040
115 	free 		61664 	0 		267232 		115040
116 	free 		108192 	0 		375424 		115040
117 	alloc 		96480 	0 		278944 		115040
118 	alloc 		44832 	96480 		234112 		115040
119 	alloc 		24864 	141312 		209248 		115040
120 	free 		24864 	0 		234112 		115040
121 	alloc 		80224 	0 		153888 		115040
122 	alloc 		91680 	80224 		62208 		115040
123 	free 		10464 	0 		72672 		115040
124 	alloc 		94752 	0 		-22080 		115040
125 	alloc 		113376 	94752 		-135456 		115040
126 	alloc 		82272 	208128 		-217728 		115040
127 	free 		43552 	0 		-174176 		115040
128 	free 		31200 	0 		-142976 		115040
129 	alloc 		124832 	0 		-267808 		115040
130 	alloc 		45664 	124832 		-313472 		115040
131 	free 		63648 	0 		-249824 		115040
132 	alloc 		94432 	0 		-344256 		115040
133 	free 		82272 	0 		-261984 		115040
134 	free 		94752 	0 		-167232 		115040
135 	free 		91680 	0 		-75552 		115040
136 	alloc 		44192 	0 		-119744 		115040
