	MANAGEMENT = Buddy System		SIZE: 1024 KB

Failed Req 85 is size 79840
 189		  free		 46368		    -1		     0		     0
 190		  free		 93408		     0		290816		131072
 191		  free		 69984		     0		421888		262144
 192		  free		 47584		    -1		     0		     0
 193		 alloc		 94240		786432		290816		131072
 194		  free		 93216		     0		421888		131072
 195		  free		 18400		     0		454656		131072
 196		 alloc		112480		655360		323584		131072
 197		  free		 56800		     0		389120		131072
 198		  free		103776		    -1		     0		     0
 199		 alloc		102560		131072		258048		131072
 200		 alloc		 91424		917504		126976		 65536
 201		 alloc		 69472		    -1		     0		 65536
 202		 alloc		 15328		409600		110592		 65536
 203		 alloc		 14240		425984		 94208		 65536
 204		 alloc		105760		    -1		     0		 65536
 205		  free		 92448		     0		225280		131072
 206		  free		 74080		     0		356352		131072
 207		 alloc		 80608		     0		225280		131072
 208		 alloc		101536		262144		 94208		 65536
 209		  free		 91424		     0		225280		131072
 210		 alloc		 63648		458752		159744		131072
 211		  free		112480		     0		290816		131072
 212		 alloc		 46304		655360		225280		131072
 213		 alloc		112480		917504		 94208		 65536
 214		  free		114656		     0		225280		131072
 215		  free		  3936		     0		229376		131072
 216		 alloc		 48992		720896		163840		131072
 217		 alloc		128224		524288		 32768		 16384
 218		 alloc		 65568		    -1		     0		 16384
 219		 alloc		 14816		393216		 16384		 16384
 220		  free		 15328		     0		 32768		 16384
 221		  free		 46304		     0		 98304		 65536
 222		  free		 94240		     0		229376		131072
 223		  free		 63648		     0		294912		131072
 224		  free		 14816		     0		311296		131072
 225		  free		 69472		    -1		     0		     0
 226		 alloc		122592		786432		180224		 65536
 227		 alloc		 16480		393216		147456		 65536
 228		  free		101536		     0		278528		131072
 229		  free		102560		     0		409600		131072
 230		 alloc		122080		131072		278528		131072
 231		  free		 14240		     0		294912		131072
 232		  free		112480		     0		425984		131072
 233		  free		105760		    -1		     0		     0
 234		 alloc		116000		262144		294912		131072
 235		 alloc		 65824		917504		163840		 65536
 236		 alloc		110944		    -1		     0		 65536
 237		  free		 80608		     0		294912		131072
 238		 alloc		 36192		458752		229376		131072
 239		 alloc		 58336		655360		163840		131072
 240		  free		 48992		     0		229376		131072
 241		  free		122592		     0		360448		131072
 242		  free		116000		     0		491520		131072
 243		 alloc		 57184		720896		425984		131072
 244		  free		 16480		     0		458752		131072
 245		  free		 65568		    -1		     0		     0
 246		  free		128224		     0		589824		131072
 247		 alloc		105632		     0		458752		131072
 248		 alloc		121056		262144		327680		131072
 249		  free		121056		     0		458752		131072
 250		  free		122080		     0		589824		131072
 251		 alloc		 42080		393216		524288		131072
 252		 alloc		 87328		131072		393216		131072
 253		 alloc		  8352		262144		376832		131072
 254		 alloc		 48416		327680		311296		131072
 255		  free		105632		     0		442368		131072
 256		  free		 42080		     0		507904		131072
 257		 alloc		 17312		294912		475136		131072
 258		  free		 57184		     0		540672		131072
 259		 alloc		 63136		393216		475136		131072
 260		  free		110944		    -1		     0		     0
 261		  free		 65824		     0		606208		262144
 262		 alloc		 47328		720896		540672		262144
 263		  free		 36192		     0		606208		262144
 264		  free		 58336		     0		671744		262144
 265		 alloc		 52256		458752		606208		262144
 266		 alloc		118048		     0		475136		262144
 267		 alloc		 98656		524288		344064		262144
 268		 alloc		 11552		278528		327680		262144
 269		 alloc		125344		786432		196608		131072
 270		  free		 17312		     0		229376		131072
 271		 alloc		116064		917504		 98304		 65536
 272		 alloc		 69664		    -1		     0		 65536
 273		  free		116064		     0		229376		131072
 274		  free		 48416		     0		294912		131072
 275		 alloc		114976		917504		163840		 65536
 276		 alloc		 44064		327680		 98304		 65536
 277		  free		  8352		     0		114688		 65536
 278		 alloc		 39520		655360		 49152		 32768
 279		 alloc		106784		    -1		     0		 32768
 280		  free		 47328		     0		114688		 65536
 281		  free		 87328		     0		245760		131072
 282		  free		 63136		     0		311296		131072
 283		 alloc		 24096		294912		278528		131072
 284		 alloc		 71968		131072		147456		 65536
 285		  free		 44064		     0		212992		 65536
 286		 alloc		 58976		327680		147456		 65536
 287		  free		 69664		    -1		     0		     0
 288		  free		 98656		     0		278528		131072
 289		  free		125344		     0		409600		131072
 290		  free		106784		    -1		     0		     0
 291		  free		 52256		     0		475136		131072
 292		 alloc		111008		393216		344064		131072
 293		  free		 11552		     0		360448		131072
 294		 alloc		 42336		720896		294912		131072
 295		 alloc		121184		524288		163840		131072
 296		  free		118048		     0		294912		131072
 297		 alloc		 26848		262144		262144		131072
 298		 alloc		 77216		     0		131072		131072
 299		 alloc		103776		786432		     0		     0
 300		 alloc		120480		    -1		     0		     0
 301		  free		 71968		     0		131072		131072
 302		 alloc		118560		131072		     0		     0
 303		 alloc		 42080		    -1		     0		     0
 304		  free		114976		     0		131072		131072
 305		  free		 39520		     0		196608		131072
 306		  free		 42336		     0		262144		131072
 307		 alloc		 72992		655360		131072		131072
 308		  free		118560		     0		262144		131072
 309		 alloc		 44512		131072		196608		131072
 310		  free		120480		    -1		     0		     0
 311		 alloc		 32224		196608		163840		131072
 312		 alloc		 87648		917504		 32768		 32768
 313		  free		 24096		     0		 65536		 32768
 314		 alloc		 32352		229376		 32768		 32768
 315		  free		 58976		     0		 98304		 65536
 316		  free		 26848		     0		131072		131072
 317		  free		111008		     0		262144		262144
 318		 alloc		 63584		262144		196608		131072
 319		  free		 42080		    -1		     0		     0
 320		 alloc		 30624		327680		163840		131072
 321		 alloc		 18336		360448		131072		131072
 322		  free		121184		     0		262144		131072
 323		  free		 44512		     0		327680		131072
 324		 alloc		   224		131072		327424		131072
 325		  free		103776		     0		458496		131072
 326		 alloc		113760		393216		327424		131072
 327		  free		 77216		     0		458496		131072
 328		 alloc		 12960		147456		442112		131072
 329		 alloc		 46688		     0		376576		131072
 330		 alloc		 44128		 65536		311040		131072
 331		 alloc		 86176		524288		179968		131072
 332		 alloc		109792		786432		 48896		 32768
 333		  free		 32352		     0		 81664		 32768
 334		 alloc		 74784		    -1		     0		 32768
 335		  free		 72992		     0		212736		131072
 336		 alloc		  1376		133120		210688		131072
 337		  free		113760		     0		341760		131072
 338		  free		 30624		     0		374528		131072
 339		  free		 32224		     0		407296		131072
 340		  free		 87648		     0		538368		131072
 341		 alloc		 50848		196608		472832		131072
 342		 alloc		 80800		393216		341760		131072
 343		  free		 63584		     0		407296		131072
 344		  free		 12960		     0		423680		131072
 345		 alloc		117088		655360		292608		131072
 346		 alloc		112864		917504		161536		 65536
 347		 alloc		  3616		135168		157440		 65536
 348		  free		   224		     0		157696		 65536
 349		 alloc		 56224		262144		 92160		 32768
 350		 alloc		128160		    -1		     0		 32768
 351		  free		 18336		     0		124928		 65536
 352		 alloc		 85472		    -1		     0		 65536
 353		  free		 44128		     0		190464		 65536
 354		 alloc		 55456		 65536		124928		 65536
 355		  free		 46688		     0		190464		 65536
 356		  free		 74784		    -1		     0		     0
 357		  free		  1376		     0		192512		 65536
 358		  free		109792		     0		323584		131072
 359		  free		 86176		     0		454656		131072
 360		 alloc		 23264		163840		421888		131072
 361		  free		 50848		     0		487424		131072
 362		  free		 80800		     0		618496		131072
 363		  free		117088		     0		749568		262144
 364		 alloc		 37792		     0		684032		262144
 365		  free		  3616		     0		688128		262144
 366		  free		 23264		     0		720896		262144
 367		  free		 56224		     0		786432		262144
 368		 alloc		 69728		131072		655360		262144
 369		 alloc		  2208		786432		651264		262144
 370		 alloc		  6368		794624		643072		262144
 371		 alloc		 40608		851968		577536		262144
 372		 alloc		103328		262144		446464		262144
 373		 alloc		 53280		393216		380928		262144
 374		  free		112864		     0		512000		262144
 375		 alloc		 87200		917504		380928		262144
 376		  free		 69728		     0		512000		262144
 377		 alloc		 70752		131072		380928		262144
 378		 alloc		 68832		524288		249856		131072
 379		  free		 85472		    -1		     0		     0
 380		  free		128160		    -1		     0		     0
 381		 alloc		 36000		458752		184320		131072
 382		  free		 55456		     0		249856		131072
 383		  free		 37792		     0		315392		131072
 384		 alloc		117344		     0		184320		131072
 385		 alloc		 46176		655360		118784		 65536
 386		  free		 87200		     0		249856		131072
 387		 alloc		 83872		917504		118784		 65536
 388		  free		 40608		     0		184320		 65536
 389		 alloc		118112		    -1		     0		 65536
 390		  free		 36000		     0		249856		 65536
 391		  free		103328		     0		380928		131072
 392		 alloc		 91808		262144		249856		 65536
 393		  free		 53280		     0		315392		131072
 394		 alloc		 40608		720896		249856		131072
 395		 alloc		 27040		819200		217088		131072
 396		  free		118112		    -1		     0		     0
 397		  free		  6368		     0		225280		131072
 398		  free		  2208		     0		229376		131072
 399		 alloc		 37344		851968		163840		131072
 400		 alloc		 45152		393216		 98304		 65536
 401		 alloc		 21152		786432		 65536		 65536
 402		 alloc		107168		    -1		     0		 65536
 403		 alloc		 72416		    -1		     0		 65536
 404		  free		 83872		     0		196608		131072
 405		  free		 70752		     0		327680		131072
 406		 alloc		 30944		458752		294912		131072
 407		  free		 68832		     0		425984		131072
 408		 alloc		 66208		131072		294912		131072
 409		 alloc		108512		524288		163840		131072
 410		  free		 45152		     0		229376		131072
 411		  free		 91808		     0		360448		131072
 412		 alloc		 64160		393216		294912		131072
 413		  free		 46176		     0		360448		131072
 414		  free		117344		     0		491520		131072
 415		 alloc		 22304		491520		458752		131072
 416		  free		 21152		     0		491520		131072
 417		 alloc		 28896		786432		458752		131072
 418		  free		 27040		     0		491520		131072
 419		  free		 37344		     0		557056		131072
 420		  free		 40608		     0		622592		131072
 421		  free		 72416		    -1		     0		     0
 422		  free		 66208		     0		753664		262144
 423		 alloc		 61856		851968		688128		262144
 424		  free		107168		    -1		     0		     0
 425		  free		 30944		     0		720896		262144
 426		 alloc		 54688		262144		655360		262144
 427		 alloc		  7648		458752		647168		262144
 428		 alloc		 85728		655360		516096		262144
 429		 alloc		111136		917504		385024		262144
 430		  free		 28896		     0		417792		262144
 431		  free		 54688		     0		483328		262144
 432		  free		 22304		     0		516096		262144
 433		 alloc		 10784		475136		499712		262144
 434		 alloc		 95520		262144		368640		262144
 435		  free		 61856		     0		434176		262144
 436		  free		108512		     0		565248		262144
 437		  free		111136		     0		696320		262144
 438		 alloc		 67104		524288		565248		262144
 439		 alloc		129184		     0		434176		262144
 440		  free		 64160		     0		499712		262144
 441		  free		 10784		     0		516096		262144
 442		 alloc		  7904		466944		507904		262144
 443		  free		 85728		     0		638976		262144
 444		 alloc		 18784		491520		606208		262144
 445		 alloc		 40032		393216		540672		262144
 446		 alloc		119200		131072		409600		262144
 447		 alloc		 28384		655360		376832		262144
 448		 alloc		103264		786432		245760		131072
 449		 alloc		 74464		917504		114688		 65536
 450		 alloc		  3936		475136		110592		 65536
 451		  free		129184		     0		241664		131072
 452		 alloc		 13728		688128		225280		131072
 453		  free		  7904		     0		233472		131072
 454		  free		 67104		     0		364544		131072
 455		 alloc		 89696		     0		233472		131072
 456		  free		119200		     0		364544		131072
 457		  free		  7648		     0		372736		131072
 458		  free		 74464		     0		503808		131072
 459		  free		103264		     0		634880		262144
 460		 alloc		 96224		131072		503808		262144
 461		 alloc		114784		524288		372736		262144
 462		  free		 89696		     0		503808		262144
 463		  free		 40032		     0		569344		262144
 464		  free		 95520		     0		700416		262144
 465		 alloc		 47200		393216		634880		262144
 466		 alloc		 45152		720896		569344		262144
 467		  free		  3936		     0		573440		262144
 468		 alloc		 11680		704512		557056		262144
 469		 alloc		 91040		     0		425984		262144
 470		  free		 11680		     0		442368		262144
 471		 alloc		126944		262144		311296		262144
 472		  free		 28384		     0		344064		262144
 473		  free		126944		     0		475136		262144
 474		  free		 18784		     0		507904		262144
 475		 alloc		105248		262144		376832		262144
 476		 alloc		111264		786432		245760		131072
 477		  free		 96224		     0		376832		131072
 478		 alloc		 54624		458752		311296		131072
 479		  free		 13728		     0		327680		131072
 480		  free		 91040		     0		458752		262144
 481		  free		 45152		     0		524288		262144
 482		  free		111264		     0		655360		262144
 483		  free		114784		     0		786432		524288
 484		 alloc		115872		     0		655360		524288
 485		 alloc		 97376		131072		524288		524288
 486		 alloc		 71264		524288		393216		262144
 487		 alloc		 30880		655360		360448		262144
 488		 alloc		 34016		720896		294912		262144
 489		 alloc		121504		786432		163840		131072
 490		 alloc		 34784		917504		 98304		 65536
 491		  free		 47200		     0		163840		 65536
 492		 alloc		 41248		393216		 98304		 65536
 493		 alloc		 63904		983040		 32768		 32768
 494		  free		121504		     0		163840		131072
 495		 alloc		127520		786432		 32768		 32768
 496		  free		 41248		     0		 98304		 65536
 497		  free		 71264		     0		229376		131072
 498		  free		 54624		     0		294912		131072
 499		  free		115872		     0		425984		131072
 500		 alloc		 33760		     0		360448		131072
 501		  free		105248		     0		491520		262144
 502		 alloc		 78112		524288		360448		262144
 503		  free		127520		     0		491520		262144
 504		 alloc		 40928		 65536		425984		262144
 505		 alloc		 32800		786432		360448		262144
 506		 alloc		 17568		688128		327680		262144
 507		  free		 63904		     0		393216		262144
 508		  free		 97376		     0		524288		262144
 509		  free		 30880		     0		557056		262144
 510		  free		 34016		     0		622592		262144
 511		 alloc		 32672		655360		589824		262144
 512		 alloc		 93280		131072		458752		262144
 513		  free		 33760		     0		524288		262144
 514		 alloc		129056		262144		393216		131072
 515		  free		 32800		     0		458752		131072
 516		  free		 17568		     0		491520		131072
 517		  free		 34784		     0		557056		262144
 518		 alloc		123872		393216		425984		262144
 519		 alloc		 40160		     0		360448		262144
 520		 alloc		108320		786432		229376		131072
 521		 alloc		 14752		688128		212992		131072
 522		 alloc		 92512		917504		 81920		 65536
 523		  free		123872		     0		212992		131072
 524		  free		129056		     0		344064		262144
 525		  free		 40928		     0		409600		262144
 526		  free		108320		     0		540672		262144
 527		 alloc		 71904		786432		409600		262144
 528		 alloc		 32608		 65536		376832		262144
 529		  free		 78112		     0		507904		262144
 530		 alloc		 19360		 98304		475136		262144
 531		 alloc		 76256		524288		344064		262144
 532		 alloc		 83040		262144		212992		131072
 533		  free		 32672		     0		245760		131072
 534		  free		 92512		     0		376832		131072
 535		 alloc		117408		393216		245760		131072
 536		 alloc		103520		917504		114688		 65536
 537		 alloc		 55584		720896		 49152		 32768
 538		 alloc		 35168		    -1		     0		 32768
 539		  free		 14752		     0		 65536		 65536
 540		  free		 35168		    -1		     0		     0
 541		  free		 93280		     0		196608		131072
 542		 alloc		 57888		655360		131072		131072
 543		  free		 40160		     0		196608		131072
 544		 alloc		105312		131072		 65536		 65536
 545		  free		 76256		     0		196608		131072
 546		 alloc		 23584		     0		163840		131072
 547		 alloc		 95584		524288		 32768		 32768
 548		  free		 23584		     0		 65536		 65536
 549		 alloc		 33632		     0		     0		     0
 550		  free		 71904		     0		131072		131072
 551		 alloc		117344		786432		     0		     0
 552		  free		 32608		     0		 32768		 32768
 553		  free		 19360		     0		 65536		 65536
 554		 alloc		 49888		 65536		     0		     0
 555		  free		 49888		     0		 65536		 65536
 556		 alloc		126048		    -1		     0		 65536
 557		  free		 95584		     0		196608		131072
 558		  free		126048		    -1		     0		     0
 559		  free		117408		     0		327680		131072
 560		  free		 83040		     0		458752		262144
 561		 alloc		 76064		524288		327680		262144
 562		 alloc		 36832		 65536		262144		262144
 563		  free		 57888		     0		327680		262144
 564		  free		105312		     0		458752		262144
 565		  free		 55584		     0		524288		262144
 566		  free		103520		     0		655360		262144
 567		 alloc		 71008		131072		524288		262144
 568		 alloc		  8672		655360		507904		262144
 569		  free		117344		     0		638976		262144
 570		 alloc		 49760		720896		573440		262144
 571		 alloc		 94816		262144		442368		262144
 572		  free		 94816		     0		573440		262144
 573		 alloc		127328		262144		442368		262144
 574		  free		 36832		     0		507904		262144
 575		  free		 76064		     0		638976		262144
 576		 alloc		 72992		393216		507904		262144
 577		  free		 33632		     0		573440		262144
 578		  free		127328		     0		704512		262144
 579		 alloc		 93408		     0		573440		262144
 580		 alloc		 81568		262144		442368		262144
 581		 alloc		100960		524288		311296		262144
 582		 alloc		 52576		786432		245760		131072
 583		 alloc		 69664		917504		114688		 65536
 584		 alloc		 75040		    -1		     0		 65536
 585		  free		 75040		    -1		     0		     0
 586		 alloc		 82656		    -1		     0		 65536
 587		 alloc		 72864		    -1		     0		 65536
 588		  free		 71008		     0		245760		131072
 589		 alloc		 62432		851968		180224		131072
 590		 alloc		 53280		131072		114688		 65536
 591		 alloc		 48992		196608		 49152		 32768
 592		 alloc		 58208		    -1		     0		 32768
 593		  free		 93408		     0		180224		131072
 594		  free		 49760		     0		245760		131072
 595		  free		 62432		     0		311296		131072
 596		  free		  8672		     0		327680		131072
 597		  free		 48992		     0		393216		131072
 598		  free		 72864		    -1		     0		     0
 599		 alloc		 55456		196608		327680		131072
 600		 alloc		 35232		851968		262144		131072
 601		  free		 72992		     0		393216		131072
 602		  free		 35232		     0		458752		131072
 603		 alloc		  1824		851968		456704		131072
 604		 alloc		 65568		     0		325632		131072
 605		 alloc		 57440		393216		260096		131072
 606		  free		  1824		     0		262144		131072
 607		  free		 81568		     0		393216		131072
 608		  free		 52576		     0		458752		131072
 609		 alloc		 24288		458752		425984		131072
 610		 alloc		 91040		262144		294912		131072
 611		  free		100960		     0		425984		262144
 612		 alloc		102944		786432		294912		262144
 613		  free		 69664		     0		425984		262144
 614		 alloc		 78304		917504		294912		262144
 615		  free		 82656		    -1		     0		     0
 616		  free		 55456		     0		360448		262144
 617		 alloc		 98528		524288		229376		131072
 618		 alloc		 54304		196608		163840		131072
 619		  free		 53280		     0		229376		131072
 620		  free		 58208		    -1		     0		     0
 621		 alloc		126240		655360		 98304		 65536
 622		  free		 24288		     0		131072		 65536
 623		 alloc		 97568		    -1		     0		 65536
 624		  free		 57440		     0		196608		131072
 625		  free		 54304		     0		262144		131072
 626		 alloc		 78560		131072		131072		131072
 627		 alloc		 57952		393216		 65536		 65536
 628		  free		 65568		     0		196608		131072
 629		 alloc		 81184		     0		 65536		 65536
 630		  free		 91040		     0		196608		131072
 631		 alloc		 76000		262144		 65536		 65536
 632		 alloc		108896		    -1		     0		 65536
 633		 alloc		 15136		458752		 49152		 32768
 634		 alloc		 65696		    -1		     0		 32768
 635		 alloc		100448		    -1		     0		 32768
 636		  free		 78560		     0		180224		131072
 637		  free		 97568		    -1		     0		     0
 638		  free		 15136		     0		196608		131072
 639		  free		 98528		     0		327680		131072
 640		  free		102944		     0		458752		131072
 641		 alloc		 67424		131072		327680		131072
 642		  free		 65696		    -1		     0		     0
 643		  free		 78304		     0		458752		262144
 644		 alloc		 15648		458752		442368		262144
 645		 alloc		 19744		491520		409600		262144
 646		 alloc		117536		524288		278528		262144
 647		  free		126240		     0		409600		262144
 648		  free		 67424		     0		540672		262144
 649		  free		 81184		     0		671744		262144
 650		 alloc		 76512		655360		540672		262144
 651		 alloc		 80928		     0		409600		262144
